	text_set	available_fonts
0	IPA_letters.txt	30
1	IPA_supplementary.txt	30
2	OTHERS_arabic.txt	11
3	OTHERS_armenian_lowercase.txt	12
4	OTHERS_armenian_uppercase.txt	12
5	OTHERS_ascii_digits.txt	135
6	OTHERS_balinese_consonants.txt	0
7	OTHERS_balinese_digits.txt	0
8	OTHERS_balinese_independent_vowels.txt	0
9	OTHERS_basic_latin_lowercase.txt	53
10	OTHERS_basic_latin_uppercase.txt	53
11	OTHERS_bengali_consonants.txt	5
12	OTHERS_bengali_digits.txt	7
13	OTHERS_bengali_independent_vowels.txt	5
14	OTHERS_common_punctuations_symbols.txt	51
15	OTHERS_devanagari_consonants.txt	13
16	OTHERS_devanagari_digits.txt	13
17	OTHERS_devanagari_independent_vowels.txt	12
18	OTHERS_ethiopic_digits_numbers.txt	11
19	OTHERS_georgian.txt	11
20	OTHERS_greek.txt	39
21	OTHERS_gujarati_consonants.txt	3
22	OTHERS_gujarati_digits.txt	3
23	OTHERS_gujarati_independent_vowels.txt	2
24	OTHERS_hebrew.txt	12
25	OTHERS_hiragana.txt	5
26	OTHERS_katakana.txt	5
27	OTHERS_khmer_consonants.txt	17
28	OTHERS_khmer_digits.txt	17
29	OTHERS_khmer_independent_vowels.txt	17
30	OTHERS_lao_consonants.txt	18
31	OTHERS_lao_digits.txt	18
32	OTHERS_mongolian_basic_letters.txt	0
33	OTHERS_mongolian_digits.txt	0
34	OTHERS_myanmar_consonants.txt	17
35	OTHERS_myanmar_digits.txt	19
36	OTHERS_myanmar_independent_vowels.txt	17
37	OTHERS_n_ko_digits.txt	0
38	OTHERS_n_ko_letters.txt	0
39	OTHERS_oriya_consonants.txt	1
40	OTHERS_oriya_digits.txt	2
41	OTHERS_oriya_independent_vowels.txt	2
42	OTHERS_russian.txt	51
43	OTHERS_sinhala_astrological_digits.txt	13
44	OTHERS_sinhala_consonants.txt	13
45	OTHERS_sinhala_independent_vowels.txt	13
46	OTHERS_tamil_consonants.txt	17
47	OTHERS_tamil_digits.txt	17
48	OTHERS_tamil_independent_vowels.txt	18
49	OTHERS_telugu_consonants.txt	0
50	OTHERS_telugu_digits.txt	3
51	OTHERS_telugu_independent_vowels.txt	3
52	OTHERS_thai_consonants.txt	12
53	OTHERS_thai_digits.txt	12
54	OTHERS_tibetan_consonants.txt	0
55	OTHERS_tibetan_digits.txt	1
56	REPRESENTATIVE_arabic.txt	1
57	REPRESENTATIVE_armenian_lowercase.txt	1
58	REPRESENTATIVE_armenian_uppercase.txt	1
59	REPRESENTATIVE_ascii_digits.txt	1
60	REPRESENTATIVE_balinese_consonants.txt	1
61	REPRESENTATIVE_balinese_digits.txt	1
62	REPRESENTATIVE_balinese_independent_vowels.txt	1
63	REPRESENTATIVE_basic_latin_lowercase.txt	1
64	REPRESENTATIVE_basic_latin_uppercase.txt	1
65	REPRESENTATIVE_bengali_consonants.txt	1
66	REPRESENTATIVE_bengali_digits.txt	1
67	REPRESENTATIVE_bengali_independent_vowels.txt	1
68	REPRESENTATIVE_common_punctuations_symbols.txt	1
69	REPRESENTATIVE_devanagari_consonants.txt	1
70	REPRESENTATIVE_devanagari_digits.txt	1
71	REPRESENTATIVE_devanagari_independent_vowels.txt	1
72	REPRESENTATIVE_ethiopic_digits_numbers.txt	1
73	REPRESENTATIVE_georgian.txt	1
74	REPRESENTATIVE_greek.txt	1
75	REPRESENTATIVE_gujarati_consonants.txt	1
76	REPRESENTATIVE_gujarati_digits.txt	1
77	REPRESENTATIVE_gujarati_independent_vowels.txt	1
78	REPRESENTATIVE_hebrew.txt	1
79	REPRESENTATIVE_hiragana.txt	1
80	REPRESENTATIVE_katakana.txt	1
81	REPRESENTATIVE_khmer_consonants.txt	1
82	REPRESENTATIVE_khmer_digits.txt	1
83	REPRESENTATIVE_khmer_independent_vowels.txt	1
84	REPRESENTATIVE_lao_consonants.txt	1
85	REPRESENTATIVE_lao_digits.txt	1
86	REPRESENTATIVE_mongolian_basic_letters.txt	1
87	REPRESENTATIVE_mongolian_digits.txt	1
88	REPRESENTATIVE_myanmar_consonants.txt	1
89	REPRESENTATIVE_myanmar_digits.txt	1
90	REPRESENTATIVE_myanmar_independent_vowels.txt	1
91	REPRESENTATIVE_n_ko_digits.txt	1
92	REPRESENTATIVE_n_ko_letters.txt	1
93	REPRESENTATIVE_oriya_consonants.txt	1
94	REPRESENTATIVE_oriya_digits.txt	1
95	REPRESENTATIVE_oriya_independent_vowels.txt	1
96	REPRESENTATIVE_russian.txt	1
97	REPRESENTATIVE_sinhala_astrological_digits.txt	1
98	REPRESENTATIVE_sinhala_consonants.txt	1
99	REPRESENTATIVE_sinhala_independent_vowels.txt	1
100	REPRESENTATIVE_tamil_consonants.txt	1
101	REPRESENTATIVE_tamil_digits.txt	1
102	REPRESENTATIVE_tamil_independent_vowels.txt	1
103	REPRESENTATIVE_telugu_consonants.txt	1
104	REPRESENTATIVE_telugu_digits.txt	1
105	REPRESENTATIVE_telugu_independent_vowels.txt	1
106	REPRESENTATIVE_thai_consonants.txt	1
107	REPRESENTATIVE_thai_digits.txt	1
108	REPRESENTATIVE_tibetan_consonants.txt	1
109	REPRESENTATIVE_tibetan_digits.txt	1
110	arabic.txt	11
111	armenian.txt	12
112	armenian_lowercase.txt	12
113	armenian_uppercase.txt	12
114	ascii_digits.txt	135
115	balinese.txt	1
116	balinese_consonants.txt	1
117	balinese_digits.txt	1
118	balinese_independent_vowels.txt	1
119	basic_latin_lowercase.txt	53
120	basic_latin_uppercase.txt	53
121	bengali.txt	5
122	bengali_consonants.txt	5
123	bengali_digits.txt	7
124	bengali_independent_vowels.txt	5
125	chinese.txt	5
126	chinese_group1.txt	5
127	chinese_group2.txt	5
128	chinese_group3.txt	5
129	common_punctuations_symbols.txt	51
130	devanagari.txt	13
131	devanagari_consonants.txt	13
132	devanagari_digits.txt	13
133	devanagari_independent_vowels.txt	13
134	ethiopic.txt	12
135	ethiopic_digits_numbers.txt	12
136	ethiopic_syllables.txt	12
137	georgian.txt	12
138	greek.txt	39
139	gujarati.txt	3
140	gujarati_consonants.txt	3
141	gujarati_digits.txt	3
142	gujarati_independent_vowels.txt	3
143	hebrew.txt	12
144	hiragana.txt	5
145	japanese.txt	5
146	katakana.txt	5
147	khmer.txt	18
148	khmer_consonants.txt	18
149	khmer_digits.txt	18
150	khmer_independent_vowels.txt	18
151	korean.txt	5
152	lao.txt	18
153	lao_consonants.txt	18
154	lao_digits.txt	18
155	latin.txt	30
156	latin1.txt	51
157	latin_extended_A.txt	31
158	latin_extended_B.txt	30
159	mathematical_operators.txt	0
160	misc.txt	0
161	mongolian.txt	1
162	mongolian_basic_letters.txt	1
163	mongolian_digits.txt	1
164	musical_symbols.txt	0
165	myanmar.txt	18
166	myanmar_consonants.txt	18
167	myanmar_digits.txt	20
168	myanmar_independent_vowels.txt	18
169	n_ko.txt	1
170	n_ko_digits.txt	1
171	n_ko_letters.txt	1
172	oriya.txt	2
173	oriya_consonants.txt	2
174	oriya_digits.txt	2
175	oriya_independent_vowels.txt	2
176	russian.txt	51
177	sinhala.txt	14
178	sinhala_astrological_digits.txt	14
179	sinhala_consonants.txt	14
180	sinhala_independent_vowels.txt	14
181	tamil.txt	18
182	tamil_calendrical.txt	18
183	tamil_consonants.txt	18
184	tamil_digits.txt	18
185	tamil_independent_vowels.txt	18
186	telugu.txt	0
187	telugu_consonants.txt	0
188	telugu_digits.txt	3
189	telugu_independent_vowels.txt	3
190	thai.txt	12
191	thai_consonants.txt	12
192	thai_digits.txt	12
193	tibetan.txt	1
194	tibetan_consonants.txt	1
195	tibetan_digits.txt	1
196	distinct_text_sets_count	196
197	distinct_fonts_count	260
